Audience,HM F 18-39,,HM F 18-39,,HM F 18-39,,HM F 18-39,,HM F 20-59,,HM F 20-59,,HM F 20-59,,HM F 20-59,,HM F 25-49,,HM F 25-49,,HM F 25-49,,HM F 25-49
,TV,,OLV,,YT,,FB,,TV,,OLV,,YT,,FB,,TV,,OLV,,YT,,FB
,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany
,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach
,,,,,,,,783.91,0.7045,,,,,,,755.25,0.7,,,,,,
,,,,,,,,784.17,0.7045,,,,,,,756.5,0.7001,,,,,,
,,,,,,,,784.56,0.7046,,,,,,,756.99,0.7001,,,,,,
,,,,,,,,784.96,0.7046,,,,,,,756.99,0.7001,,,,,,
,,,,,,,,786.26,0.7062,,,,,,,757.52,0.7001,,,,,,
,,,,,,,,786.68,0.7062,,,,,,,757.92,0.7001,,,,,,
,,,,,,,,786.86,0.7062,,,,,,,758.32,0.7001,,,,,,
,,,,,,,,787.03,0.7064,,,,,,,758.32,0.7001,,,,,,
,,,,,,,,787.44,0.7064,,,,,,,758.32,0.7001,,,,,,
,,,,,,,,787.73,0.7064,,,,,,,758.72,0.7002,,,,,,
,,,,,,,,788.87,0.7064,,,,,,,759.76,0.7002,,,,,,
,,,,,,,,789.18,0.7064,,,,,,,760.1,0.7002,,,,,,
,,,,,,,,789.99,0.7064,,,,,,,760.43,0.7002,,,,,,
,,,,,,,,790.31,0.7064,,,,,,,761.11,0.7002,,,,,,
,,,,,,,,790.36,0.7064,,,,,,,762.83,0.7002,,,,,,
,,,,,,,,790.67,0.7064,,,,,,,763.01,0.7002,,,,,,
,,,,,,,,791.81,0.7064,,,,,,,763.72,0.7002,,,,,,
,,,,,,,,792.27,0.7074,,,,,,,763.76,0.7002,,,,,,
,,,,,,,,792.62,0.7074,,,,,,,764.03,0.7002,,,,,,
,,,,,,,,792.82,0.7074,,,,,,,765.24,0.7002,,,,,,
,,,,,,,,793.35,0.7074,,,,,,,766.12,0.7003,,,,,,
,,,,,,,,794.37,0.7074,,,,,,,766.36,0.7003,,,,,,
,,,,,,,,794.91,0.7075,,,,,,,766.44,0.7003,,,,,,
,,,,,,,,794.93,0.7075,,,,,,,766.45,0.7003,,,,,,
,,,,,,,,795.33,0.7075,,,,,,,766.45,0.7003,,,,,,
,,,,,,,,795.33,0.7075,,,,,,,767.19,0.7003,,,,,,
,,,,,,,,795.97,0.7076,,,,,,,768.05,0.7003,,,,,,
,,,,,,,,795.97,0.7076,,,,,,,769.59,0.7003,,,,,,
,,,,,,,,796.04,0.7076,,,,,,,770.89,0.7003,,,,,,
,,,,,,,,796.04,0.7076,,,,,,,771.67,0.7003,,,,,,
,,,,,,,,796.04,0.7076,,,,,,,772.44,0.7003,,,,,,
,,,,,,,,796.04,0.7076,,,,,,,773.15,0.7003,,,,,,
,,,,,,,,796.04,0.7076,,,,,,,773.3,0.7003,,,,,,
,,,,,,,,796.48,0.7076,,,,,,,773.72,0.7003,,,,,,
,,,,,,,,796.51,0.7077,,,,,,,773.72,0.7003,,,,,,
,,,,,,,,796.72,0.7079,,,,,,,773.84,0.7003,,,,,,
,,,,,,,,797.45,0.7088,,,,,,,774.19,0.7003,,,,,,
,,,,,,,,798.09,0.7093,,,,,,,775.11,0.7003,,,,,,
,,,,,,,,798.44,0.7093,,,,,,,776.32,0.7003,,,,,,
,,,,,,,,799.57,0.7093,,,,,,,776.38,0.7003,,,,,,
,,,,,,,,800.56,0.7093,,,,,,,776.57,0.7003,,,,,,
,,,,,,,,801.8,0.7093,,,,,,,777.31,0.7005,,,,,,
,,,,,,,,802.76,0.7093,,,,,,,777.31,0.7005,,,,,,
,,,,,,,,804.62,0.7093,,,,,,,779.02,0.7005,,,,,,
,,,,,,,,805.43,0.7093,,,,,,,779.4,0.7005,,,,,,
,,,,,,,,805.52,0.7093,,,,,,,781.85,0.7011,,,,,,
,,,,,,,,807.59,0.7093,,,,,,,782,0.7011,,,,,,
,,,,,,,,809.98,0.7093,,,,,,,782.08,0.7011,,,,,,
,,,,,,,,810.34,0.7095,,,,,,,782.19,0.7011,,,,,,
,,,,,,,,810.63,0.7095,,,,,,,782.52,0.7012,,,,,,
,,,,,,,,811.75,0.7095,,,,,,,783.49,0.7012,,,,,,
,,,,,,,,811.93,0.7095,,,,,,,784.37,0.7012,,,,,,
,,,,,,,,813.36,0.7095,,,,,,,784.44,0.7012,,,,,,
,,,,,,,,813.41,0.7095,,,,,,,785.14,0.7012,,,,,,
,,,,,,,,815.07,0.7099,,,,,,,785.19,0.7012,,,,,,
,,,,,,,,815.17,0.7099,,,,,,,785.81,0.7012,,,,,,
,,,,,,,,815.23,0.7099,,,,,,,786.27,0.7012,,,,,,
,,,,,,,,815.38,0.7099,,,,,,,787,0.7012,,,,,,
,,,,,,,,815.43,0.7099,,,,,,,788.2,0.7012,,,,,,
,,,,,,,,816.21,0.7102,,,,,,,788.85,0.7012,,,,,,
,,,,,,,,816.58,0.7102,,,,,,,790.17,0.7012,,,,,,
,,,,,,,,817.11,0.7102,,,,,,,790.86,0.7012,,,,,,
,,,,,,,,817.75,0.7102,,,,,,,791.96,0.7012,,,,,,
,,,,,,,,818.09,0.7102,,,,,,,793.08,0.7012,,,,,,
,,,,,,,,819.06,0.7102,,,,,,,794.35,0.7012,,,,,,
,,,,,,,,819.46,0.7101,,,,,,,794.47,0.7012,,,,,,
,,,,,,,,820.51,0.7101,,,,,,,795.3,0.7012,,,,,,
,,,,,,,,820.67,0.7101,,,,,,,795.3,0.7012,,,,,,
,,,,,,,,820.96,0.7101,,,,,,,796.52,0.7012,,,,,,
,,,,,,,,821.68,0.7101,,,,,,,796.74,0.7012,,,,,,
,,,,,,,,821.97,0.7101,,,,,,,796.74,0.7012,,,,,,
,,,,,,,,825.2,0.7108,,,,,,,796.74,0.7012,,,,,,
,,,,,,,,825.2,0.7108,,,,,,,797.6,0.7012,,,,,,
,,,,,,,,825.74,0.7108,,,,,,,797.6,0.7012,,,,,,
,,,,,,,,825.74,0.7108,,,,,,,797.96,0.7012,,,,,,
,,,,,,,,825.83,0.7108,,,,,,,798.04,0.7012,,,,,,
,,,,,,,,826.17,0.7108,,,,,,,798.04,0.7012,,,,,,
,,,,,,,,826.2,0.7108,,,,,,,798.05,0.7012,,,,,,
,,,,,,,,827.83,0.7118,,,,,,,798.06,0.7013,,,,,,
,,,,,,,,827.94,0.7118,,,,,,,798.8,0.7013,,,,,,
,,,,,,,,828.28,0.7117,,,,,,,799.89,0.7013,,,,,,
,,,,,,,,828.5,0.7117,,,,,,,800.96,0.7013,,,,,,
,,,,,,,,828.7,0.7117,,,,,,,801.45,0.7015,,,,,,
,,,,,,,,828.77,0.7117,,,,,,,802.05,0.7015,,,,,,
,,,,,,,,828.77,0.7117,,,,,,,803.08,0.7023,,,,,,
,,,,,,,,829.2,0.7121,,,,,,,804.08,0.7023,,,,,,
,,,,,,,,829.31,0.7121,,,,,,,804.64,0.7023,,,,,,
,,,,,,,,830.17,0.7121,,,,,,,805.21,0.7023,,,,,,
,,,,,,,,830.7,0.7121,,,,,,,805.42,0.7024,,,,,,
,,,,,,,,831.14,0.7127,,,,,,,805.42,0.7024,,,,,,
,,,,,,,,831.89,0.7127,,,,,,,806.04,0.7024,,,,,,
,,,,,,,,833.41,0.7127,,,,,,,807.05,0.7024,,,,,,
,,,,,,,,834.03,0.7127,,,,,,,807.43,0.7024,,,,,,
,,,,,,,,834.97,0.7127,,,,,,,807.78,0.7024,,,,,,
,,,,,,,,835.59,0.7127,,,,,,,807.79,0.7024,,,,,,
,,,,,,,,836.94,0.7131,,,,,,,807.79,0.7024,,,,,,
,,,,,,,,837.69,0.7131,,,,,,,808.85,0.7024,,,,,,
,,,,,,,,837.84,0.7131,,,,,,,810.26,0.7026,,,,,,
,,,,,,,,838.2,0.7131,,,,,,,811.94,0.7026,,,,,,
,,,,,,,,838.53,0.7131,,,,,,,812.06,0.7026,,,,,,
,,,,,,,,838.61,0.7132,,,,,,,812.06,0.7026,,,,,,
,,,,,,,,838.67,0.7132,,,,,,,812.07,0.7026,,,,,,
,,,,,,,,838.83,0.7131,,,,,,,812.23,0.7026,,,,,,
,,,,,,,,840.47,0.7134,,,,,,,812.97,0.7026,,,,,,
,,,,,,,,842.84,0.7134,,,,,,,813.69,0.7026,,,,,,
,,,,,,,,843.09,0.7134,,,,,,,814.62,0.7026,,,,,,
,,,,,,,,845.54,0.7134,,,,,,,815.85,0.7026,,,,,,
,,,,,,,,845.66,0.7134,,,,,,,817.08,0.7026,,,,,,
,,,,,,,,846.04,0.7141,,,,,,,817.98,0.7026,,,,,,
,,,,,,,,846.08,0.7141,,,,,,,819.22,0.7026,,,,,,
,,,,,,,,846.08,0.7141,,,,,,,820.47,0.7026,,,,,,
,,,,,,,,846.67,0.7147,,,,,,,821.01,0.7026,,,,,,
,,,,,,,,846.69,0.7149,,,,,,,821.56,0.7032,,,,,,
,,,,,,,,847.27,0.7166,,,,,,,822.61,0.7032,,,,,,
,,,,,,,,852.35,0.7195,,,,,,,824.12,0.7032,,,,,,
,,,,,,,,852.83,0.7197,,,,,,,825.55,0.7032,,,,,,
,,,,,,,,853.14,0.7197,,,,,,,826.46,0.7032,,,,,,
,,,,,,,,853.43,0.7197,,,,,,,826.5,0.7032,,,,,,
,,,,,,,,854.19,0.7197,,,,,,,826.54,0.7032,,,,,,
,,,,,,,,854.9,0.7197,,,,,,,827.34,0.7032,,,,,,
,,,,,,,,855.01,0.7197,,,,,,,827.46,0.7032,,,,,,
,,,,,,,,856.04,0.7197,,,,,,,827.73,0.7032,,,,,,
,,,,,,,,856.49,0.7197,,,,,,,827.81,0.7032,,,,,,
,,,,,,,,857.01,0.7197,,,,,,,828.58,0.7032,,,,,,
,,,,,,,,857.71,0.7197,,,,,,,829.56,0.7032,,,,,,
,,,,,,,,858.39,0.7197,,,,,,,829.68,0.7032,,,,,,
,,,,,,,,859.29,0.7198,,,,,,,830.54,0.7032,,,,,,
,,,,,,,,860.06,0.7198,,,,,,,831.89,0.7032,,,,,,
,,,,,,,,861.47,0.7201,,,,,,,832.6,0.7032,,,,,,
,,,,,,,,862.17,0.7201,,,,,,,833.71,0.7032,,,,,,
,,,,,,,,862.42,0.7201,,,,,,,835.53,0.7032,,,,,,
,,,,,,,,862.63,0.7201,,,,,,,835.53,0.7032,,,,,,
,,,,,,,,863.14,0.7201,,,,,,,836.44,0.7032,,,,,,
,,,,,,,,866.08,0.7203,,,,,,,836.46,0.7032,,,,,,
,,,,,,,,866.15,0.7203,,,,,,,836.61,0.7032,,,,,,
,,,,,,,,866.31,0.7203,,,,,,,836.82,0.7032,,,,,,
,,,,,,,,866.39,0.7203,,,,,,,837.38,0.7032,,,,,,
,,,,,,,,866.39,0.7203,,,,,,,838.42,0.7032,,,,,,
,,,,,,,,866.43,0.7203,,,,,,,838.5,0.7032,,,,,,
,,,,,,,,866.44,0.7202,,,,,,,838.86,0.7032,,,,,,
,,,,,,,,866.44,0.7202,,,,,,,838.95,0.7032,,,,,,
,,,,,,,,866.79,0.7202,,,,,,,839.04,0.7032,,,,,,
,,,,,,,,867.11,0.7202,,,,,,,839.91,0.7031,,,,,,
,,,,,,,,867.44,0.7202,,,,,,,840.37,0.7031,,,,,,
,,,,,,,,867.67,0.7203,,,,,,,840.95,0.7031,,,,,,
,,,,,,,,867.74,0.7203,,,,,,,841.09,0.7031,,,,,,
,,,,,,,,867.86,0.7203,,,,,,,841.15,0.7031,,,,,,
,,,,,,,,868.92,0.7203,,,,,,,842.4,0.7034,,,,,,
,,,,,,,,869.39,0.7203,,,,,,,843.72,0.7056,,,,,,
,,,,,,,,869.76,0.7203,,,,,,,844.38,0.7057,,,,,,
,,,,,,,,869.8,0.7203,,,,,,,844.59,0.7057,,,,,,
,,,,,,,,870.57,0.7203,,,,,,,845.32,0.7057,,,,,,
,,,,,,,,871.08,0.7203,,,,,,,845.92,0.7057,,,,,,
,,,,,,,,872.62,0.7207,,,,,,,846.51,0.7057,,,,,,
,,,,,,,,872.63,0.7207,,,,,,,847.3,0.7057,,,,,,
,,,,,,,,872.63,0.7207,,,,,,,848.23,0.7057,,,,,,
,,,,,,,,873.53,0.721,,,,,,,848.76,0.7057,,,,,,
,,,,,,,,873.59,0.721,,,,,,,849.32,0.7057,,,,,,
,,,,,,,,874.57,0.7213,,,,,,,849.32,0.7057,,,,,,
,,,,,,,,874.66,0.7214,,,,,,,849.88,0.7057,,,,,,
,,,,,,,,875.1,0.7214,,,,,,,850.56,0.7057,,,,,,
,,,,,,,,875.33,0.7216,,,,,,,851.14,0.7057,,,,,,
,,,,,,,,876.09,0.7216,,,,,,,852.71,0.7063,,,,,,
,,,,,,,,876.35,0.7216,,,,,,,853.08,0.7063,,,,,,
,,,,,,,,877.26,0.7216,,,,,,,853.7,0.7063,,,,,,
,,,,,,,,877.54,0.7216,,,,,,,853.92,0.7063,,,,,,
,,,,,,,,878.1,0.7216,,,,,,,854.76,0.7063,,,,,,
,,,,,,,,878.34,0.7216,,,,,,,855.15,0.7063,,,,,,
,,,,,,,,878.41,0.7216,,,,,,,855.56,0.7063,,,,,,
,,,,,,,,878.44,0.7216,,,,,,,856.02,0.7063,,,,,,
,,,,,,,,878.44,0.7216,,,,,,,856.7,0.7063,,,,,,
,,,,,,,,878.56,0.7218,,,,,,,858.06,0.7063,,,,,,
,,,,,,,,878.77,0.7218,,,,,,,859.51,0.7063,,,,,,
,,,,,,,,879.1,0.7222,,,,,,,860.32,0.7068,,,,,,
,,,,,,,,879.34,0.7221,,,,,,,861.22,0.7068,,,,,,
,,,,,,,,880.19,0.7221,,,,,,,861.93,0.7068,,,,,,
,,,,,,,,880.56,0.7221,,,,,,,862.43,0.7068,,,,,,
,,,,,,,,881.36,0.7225,,,,,,,862.78,0.7068,,,,,,
,,,,,,,,882.16,0.7228,,,,,,,863.29,0.7068,,,,,,
,,,,,,,,883.33,0.7228,,,,,,,863.51,0.7068,,,,,,
,,,,,,,,884.57,0.7228,,,,,,,864.07,0.7073,,,,,,
,,,,,,,,884.82,0.7229,,,,,,,864.32,0.7073,,,,,,
,,,,,,,,885.39,0.7229,,,,,,,864.45,0.7073,,,,,,
,,,,,,,,885.59,0.7229,,,,,,,864.71,0.7073,,,,,,
,,,,,,,,888.73,0.7237,,,,,,,865.17,0.7072,,,,,,
,,,,,,,,888.89,0.7241,,,,,,,865.6,0.7072,,,,,,
,,,,,,,,889.23,0.7241,,,,,,,865.74,0.7072,,,,,,
,,,,,,,,889.26,0.7241,,,,,,,865.88,0.7072,,,,,,
,,,,,,,,889.58,0.7241,,,,,,,866.29,0.7072,,,,,,
,,,,,,,,889.59,0.7241,,,,,,,866.43,0.7072,,,,,,
,,,,,,,,889.7,0.7241,,,,,,,866.92,0.7072,,,,,,
,,,,,,,,889.83,0.7241,,,,,,,867.48,0.7072,,,,,,
,,,,,,,,890.34,0.7241,,,,,,,867.73,0.7072,,,,,,
,,,,,,,,890.34,0.7241,,,,,,,869.35,0.7072,,,,,,
,,,,,,,,890.39,0.7244,,,,,,,869.62,0.7072,,,,,,
,,,,,,,,890.4,0.7244,,,,,,,870.16,0.7072,,,,,,
,,,,,,,,890.46,0.7244,,,,,,,870.69,0.7077,,,,,,
,,,,,,,,890.81,0.7244,,,,,,,871.63,0.7078,,,,,,
,,,,,,,,890.92,0.7244,,,,,,,871.67,0.7077,,,,,,
,,,,,,,,891.6,0.7244,,,,,,,877.76,0.7078,,,,,,
,,,,,,,,891.87,0.7244,,,,,,,877.85,0.7079,,,,,,
,,,,,,,,892.71,0.7244,,,,,,,877.92,0.7079,,,,,,
,,,,,,,,893.35,0.7244,,,,,,,878.08,0.7079,,,,,,
,,,,,,,,893.63,0.7245,,,,,,,878.49,0.7082,,,,,,
,,,,,,,,894.54,0.7245,,,,,,,880.33,0.7097,,,,,,
,,,,,,,,895.31,0.7249,,,,,,,880.75,0.7109,,,,,,
,,,,,,,,896.73,0.7255,,,,,,,880.87,0.7109,,,,,,
,,,,,,,,896.8,0.7255,,,,,,,881.49,0.7109,,,,,,
,,,,,,,,897.36,0.7256,,,,,,,881.57,0.7109,,,,,,
,,,,,,,,897.44,0.7256,,,,,,,881.63,0.7112,,,,,,
,,,,,,,,897.59,0.7256,,,,,,,882.18,0.7112,,,,,,
,,,,,,,,898.33,0.7257,,,,,,,882.62,0.7112,,,,,,
,,,,,,,,899.26,0.7257,,,,,,,883.54,0.7112,,,,,,
,,,,,,,,899.93,0.7257,,,,,,,883.95,0.7112,,,,,,
,,,,,,,,900.2,0.7259,,,,,,,884.92,0.7112,,,,,,
,,,,,,,,900.36,0.7259,,,,,,,885.13,0.7112,,,,,,
,,,,,,,,900.55,0.7258,,,,,,,886.07,0.7112,,,,,,
,,,,,,,,901.6,0.7258,,,,,,,886.88,0.7112,,,,,,
,,,,,,,,902.85,0.7258,,,,,,,886.97,0.7112,,,,,,
,,,,,,,,903.56,0.7258,,,,,,,886.97,0.7112,,,,,,
,,,,,,,,905.07,0.7258,,,,,,,887.11,0.7113,,,,,,
,,,,,,,,906.4,0.7258,,,,,,,887.62,0.7113,,,,,,
,,,,,,,,906.49,0.7258,,,,,,,887.76,0.7112,,,,,,
,,,,,,,,907.94,0.7258,,,,,,,887.96,0.7112,,,,,,
,,,,,,,,909.85,0.7258,,,,,,,888.49,0.7114,,,,,,
,,,,,,,,911.22,0.7262,,,,,,,888.86,0.7114,,,,,,
,,,,,,,,911.5,0.728,,,,,,,888.86,0.7114,,,,,,
,,,,,,,,913.17,0.728,,,,,,,889.21,0.7114,,,,,,
,,,,,,,,913.21,0.728,,,,,,,890.07,0.7115,,,,,,
,,,,,,,,915.12,0.728,,,,,,,891.48,0.7128,,,,,,
,,,,,,,,916.73,0.729,,,,,,,892.17,0.7128,,,,,,
,,,,,,,,916.86,0.729,,,,,,,893.2,0.7128,,,,,,
,,,,,,,,916.86,0.729,,,,,,,893.8,0.7127,,,,,,
,,,,,,,,916.92,0.729,,,,,,,895.09,0.7127,,,,,,
,,,,,,,,916.92,0.729,,,,,,,895.75,0.7127,,,,,,
,,,,,,,,917.13,0.729,,,,,,,896.78,0.7127,,,,,,
,,,,,,,,917.21,0.729,,,,,,,897.87,0.7127,,,,,,
,,,,,,,,917.36,0.729,,,,,,,899.13,0.7127,,,,,,
,,,,,,,,917.44,0.729,,,,,,,899.39,0.7127,,,,,,
,,,,,,,,918.13,0.729,,,,,,,899.8,0.7127,,,,,,
,,,,,,,,918.77,0.729,,,,,,,901.04,0.7136,,,,,,
,,,,,,,,920.09,0.729,,,,,,,901.04,0.7136,,,,,,
,,,,,,,,920.5,0.729,,,,,,,901.3,0.7136,,,,,,
,,,,,,,,920.75,0.729,,,,,,,901.38,0.7136,,,,,,
,,,,,,,,921.51,0.729,,,,,,,901.38,0.7136,,,,,,
,,,,,,,,922.7,0.729,,,,,,,901.46,0.7136,,,,,,
,,,,,,,,922.98,0.729,,,,,,,901.46,0.7136,,,,,,
,,,,,,,,923.41,0.729,,,,,,,901.97,0.7142,,,,,,
,,,,,,,,923.83,0.7294,,,,,,,902.11,0.7142,,,,,,
,,,,,,,,924.24,0.7294,,,,,,,902.36,0.7142,,,,,,
,,,,,,,,924.54,0.7294,,,,,,,902.64,0.7142,,,,,,
,,,,,,,,924.98,0.7294,,,,,,,903.06,0.7142,,,,,,
,,,,,,,,928.58,0.7296,,,,,,,904.73,0.7142,,,,,,
,,,,,,,,928.7,0.7296,,,,,,,906.27,0.7142,,,,,,
,,,,,,,,928.89,0.7296,,,,,,,907.2,0.7142,,,,,,
,,,,,,,,928.89,0.7296,,,,,,,907.99,0.7142,,,,,,
,,,,,,,,928.89,0.7296,,,,,,,908.81,0.7142,,,,,,
,,,,,,,,929.09,0.7296,,,,,,,909.3,0.7142,,,,,,
,,,,,,,,929.35,0.7296,,,,,,,909.73,0.7142,,,,,,
,,,,,,,,929.67,0.7296,,,,,,,911.22,0.7142,,,,,,
,,,,,,,,929.67,0.7296,,,,,,,911.5,0.7148,,,,,,
,,,,,,,,929.67,0.7296,,,,,,,911.7,0.7148,,,,,,
,,,,,,,,929.71,0.7296,,,,,,,911.96,0.7154,,,,,,
,,,,,,,,930.61,0.7296,,,,,,,912.14,0.7154,,,,,,
,,,,,,,,930.94,0.7296,,,,,,,912.14,0.7154,,,,,,
,,,,,,,,931.83,0.7296,,,,,,,912.32,0.7154,,,,,,
,,,,,,,,932.49,0.7296,,,,,,,913.84,0.7165,,,,,,
,,,,,,,,933.33,0.7296,,,,,,,914.08,0.7165,,,,,,
,,,,,,,,933.76,0.7297,,,,,,,914.36,0.7165,,,,,,
,,,,,,,,934.73,0.7306,,,,,,,914.4,0.7165,,,,,,
,,,,,,,,935.46,0.7306,,,,,,,914.81,0.7165,,,,,,
,,,,,,,,936.18,0.7306,,,,,,,914.85,0.7165,,,,,,
,,,,,,,,936.41,0.7306,,,,,,,915.72,0.7165,,,,,,
,,,,,,,,937.45,0.7306,,,,,,,915.81,0.7165,,,,,,
,,,,,,,,938.08,0.7306,,,,,,,916.64,0.7179,,,,,,
,,,,,,,,938.87,0.7306,,,,,,,917.81,0.718,,,,,,
,,,,,,,,939.18,0.7306,,,,,,,918.24,0.718,,,,,,
,,,,,,,,940.08,0.7306,,,,,,,918.62,0.7183,,,,,,
,,,,,,,,940.75,0.7307,,,,,,,918.92,0.7183,,,,,,
,,,,,,,,943.3,0.7307,,,,,,,919.06,0.7183,,,,,,
,,,,,,,,943.31,0.7307,,,,,,,919.66,0.7183,,,,,,
,,,,,,,,943.4,0.7307,,,,,,,920.6,0.7183,,,,,,
,,,,,,,,943.4,0.7307,,,,,,,921.12,0.7183,,,,,,
,,,,,,,,943.52,0.7307,,,,,,,921.5,0.7183,,,,,,
,,,,,,,,945.72,0.7308,,,,,,,922.06,0.7183,,,,,,
,,,,,,,,946.14,0.7308,,,,,,,922.67,0.7184,,,,,,
,,,,,,,,946.14,0.7308,,,,,,,923.77,0.7184,,,,,,
,,,,,,,,949.05,0.7312,,,,,,,924.62,0.7184,,,,,,
,,,,,,,,949.32,0.7312,,,,,,,925.58,0.7188,,,,,,
,,,,,,,,949.35,0.7312,,,,,,,926.05,0.7188,,,,,,
,,,,,,,,949.85,0.7312,,,,,,,926.68,0.7188,,,,,,
,,,,,,,,949.85,0.7312,,,,,,,927.73,0.7188,,,,,,
,,,,,,,,949.87,0.7312,,,,,,,928.7,0.7188,,,,,,
,,,,,,,,949.95,0.7312,,,,,,,929.51,0.7188,,,,,,
,,,,,,,,950.45,0.7312,,,,,,,930.15,0.7188,,,,,,
,,,,,,,,950.74,0.7314,,,,,,,930.64,0.7188,,,,,,
,,,,,,,,950.96,0.7315,,,,,,,931.03,0.7188,,,,,,
,,,,,,,,951.14,0.7315,,,,,,,931.25,0.7189,,,,,,
,,,,,,,,951.75,0.7315,,,,,,,931.27,0.7189,,,,,,
,,,,,,,,951.84,0.7315,,,,,,,933.61,0.7193,,,,,,
,,,,,,,,952.8,0.7315,,,,,,,934.27,0.7193,,,,,,
,,,,,,,,953.74,0.7315,,,,,,,934.4,0.7193,,,,,,
,,,,,,,,954.06,0.7315,,,,,,,935.61,0.7193,,,,,,
,,,,,,,,954.56,0.7315,,,,,,,936.1,0.7199,,,,,,
,,,,,,,,955.46,0.7315,,,,,,,937.21,0.7199,,,,,,
,,,,,,,,956.06,0.7315,,,,,,,937.45,0.7199,,,,,,
,,,,,,,,956.75,0.7315,,,,,,,938.29,0.7199,,,,,,
,,,,,,,,957.76,0.7315,,,,,,,938.61,0.7199,,,,,,
,,,,,,,,958.74,0.7315,,,,,,,939.06,0.7199,,,,,,
,,,,,,,,958.94,0.7315,,,,,,,939.21,0.7199,,,,,,
,,,,,,,,959.19,0.7315,,,,,,,939.36,0.7199,,,,,,
,,,,,,,,959.24,0.7315,,,,,,,940.22,0.7199,,,,,,
,,,,,,,,959.24,0.7315,,,,,,,940.73,0.7199,,,,,,
,,,,,,,,959.31,0.7315,,,,,,,941.59,0.72,,,,,,
,,,,,,,,960.5,0.7317,,,,,,,942.45,0.72,,,,,,
,,,,,,,,960.69,0.7317,,,,,,,943.12,0.72,,,,,,
,,,,,,,,960.73,0.7317,,,,,,,943.97,0.72,,,,,,
,,,,,,,,960.82,0.7317,,,,,,,944.25,0.72,,,,,,
,,,,,,,,960.83,0.7317,,,,,,,944.25,0.72,,,,,,
,,,,,,,,960.91,0.7317,,,,,,,944.69,0.72,,,,,,
,,,,,,,,960.99,0.7317,,,,,,,944.69,0.72,,,,,,
,,,,,,,,961.23,0.7317,,,,,,,944.88,0.72,,,,,,
,,,,,,,,961.5,0.7317,,,,,,,945.56,0.72,,,,,,
,,,,,,,,961.63,0.7317,,,,,,,945.81,0.72,,,,,,
,,,,,,,,961.63,0.7317,,,,,,,946.29,0.72,,,,,,
,,,,,,,,961.86,0.7317,,,,,,,946.94,0.72,,,,,,
,,,,,,,,961.87,0.7317,,,,,,,947.54,0.72,,,,,,
,,,,,,,,962.08,0.7318,,,,,,,948.38,0.72,,,,,,
,,,,,,,,962.22,0.7319,,,,,,,948.41,0.7201,,,,,,
,,,,,,,,964.42,0.7332,,,,,,,949.68,0.7201,,,,,,
,,,,,,,,964.7,0.7333,,,,,,,950.36,0.7201,,,,,,
,,,,,,,,965.05,0.7337,,,,,,,950.36,0.7201,,,,,,
,,,,,,,,965.35,0.7336,,,,,,,950.94,0.7201,,,,,,
,,,,,,,,965.66,0.7336,,,,,,,950.99,0.7201,,,,,,
,,,,,,,,966.1,0.7336,,,,,,,951.71,0.7201,,,,,,
,,,,,,,,966.73,0.7336,,,,,,,952.75,0.7201,,,,,,
,,,,,,,,967.62,0.7336,,,,,,,952.95,0.7208,,,,,,
,,,,,,,,968.35,0.7336,,,,,,,952.95,0.7208,,,,,,
,,,,,,,,969.07,0.734,,,,,,,953.65,0.7208,,,,,,
,,,,,,,,969.82,0.734,,,,,,,955.15,0.7208,,,,,,
,,,,,,,,970.82,0.734,,,,,,,955.61,0.7208,,,,,,
,,,,,,,,972.11,0.7345,,,,,,,957.29,0.7208,,,,,,
,,,,,,,,973.25,0.7345,,,,,,,957.29,0.7208,,,,,,
,,,,,,,,973.73,0.7345,,,,,,,958.18,0.7208,,,,,,
,,,,,,,,973.9,0.7344,,,,,,,958.83,0.7208,,,,,,
,,,,,,,,975.17,0.7346,,,,,,,959.55,0.7208,,,,,,
,,,,,,,,975.45,0.7346,,,,,,,959.55,0.7208,,,,,,
,,,,,,,,975.6,0.7346,,,,,,,960.26,0.7208,,,,,,
,,,,,,,,979.03,0.7346,,,,,,,960.83,0.7208,,,,,,
,,,,,,,,979.26,0.7346,,,,,,,960.83,0.7208,,,,,,
,,,,,,,,979.87,0.7346,,,,,,,960.88,0.7208,,,,,,
,,,,,,,,980.5,0.7347,,,,,,,962.22,0.7208,,,,,,
,,,,,,,,981.34,0.7347,,,,,,,963.15,0.7208,,,,,,
,,,,,,,,981.86,0.7347,,,,,,,963.16,0.7208,,,,,,
,,,,,,,,982.62,0.7347,,,,,,,965.25,0.7208,,,,,,
,,,,,,,,984.68,0.7347,,,,,,,967.14,0.7208,,,,,,
,,,,,,,,984.8,0.7347,,,,,,,967.79,0.7208,,,,,,
,,,,,,,,984.91,0.7347,,,,,,,968.32,0.7208,,,,,,
,,,,,,,,987.29,0.7348,,,,,,,969.01,0.7208,,,,,,
,,,,,,,,987.29,0.7348,,,,,,,969.92,0.7209,,,,,,
,,,,,,,,987.33,0.7348,,,,,,,970.52,0.7209,,,,,,
